label,grade
ecc4dc1082bef06c0dee6e1804852735,7.34
28f10a0bd3fb60701d7ac8871caa867f,6.9
5b4ff7794b2805e05a0b4513269bc165,6.47
a329ec7beef92be08830708c53797500,7.34
bc7b6b52dd82a1918a8e4eebc86d5f7b,6.9
5c47d89123372d37d986e9aa23e9ba98,6.47
4d23c8924caac96038df47b7c4fdcdf3,7.34
c8b30b486e3a1f5c87f435003736d856,6.9
b34b690ac041da1645f3ce5e5d0d8a64,6.47
723b815260879c8d632327101a4b0656,7.34
2f26680b099ea4861c6b687ee4224f5f,6.9
f0706737ced6ac57b92ad773f866e0a6,6.47
b6a3d35db774baea878a409720708232,7.34
fd40402d5ba219d7213577a7262eb415,6.9
80ec98a4c64c72c89236d525f7503851,6.47
fe5e5584563125a8988278d63ea362ab,7.34
e09d9e139656ab2b80e316f0871bbfe2,6.9
36e1f15e8f252f11838f37501b4c3abf,6.47
5c81b3d4323b2e708fcb40bd3e4d1542,7.34
09dc5c6f841d214e2d482c7e568c9f1d,6.9
6695f57b278f6498cdddebcb55c94f64,6.47
a76701a56fa666095c40da63372b2353,7.34
f72c5f1a152d16a62794b24126123420,6.9
381a2137c1d6d2ca2599bd7721682d6c,6.47
e33a6bbe2b48cc2ca296217aca1bbd06,7.34
4b3bdccfbb0bb2c92a9444e512351e90,6.9
2e29ab5c511f5d63782d9c3fed6081be,6.47
3cea269a85dd55c6d05a1a99b99f41c8,7.34
c9600d956fdc9e7d1244e56b528b65ae,6.9
7d8ea3907ac92ee553233b9131116b74,6.47
17e207e554a96dc0f4ca521d0fa59072,7.2
558d8cbc86395c7496afbf4dfd942bb1,6.85
fdfff9bf79952fa84454cae595afe196,6.42
273bcf0b3979483cf4eb582d4b261b9e,7.2
233cbdd65b7e8c8ec705f454742dc05a,6.85
9b589bada522fc0b60724d9b66e5b579,6.42
f18e60c12e62817d5dc9f5305bc8c485,7.2
33d466496385ab2fd76fffe6d4d2b7e8,6.85
2c5c8db018741965744fb3967f9353fa,6.42
1566641477da663986633f75732f5944,7.2
bed1cb4057b562fe586fe22f62be4335,6.85
4bc451f45d1ec4b0b9756304ff93694b,6.42
9370e4c63456e1ac492576cb82a8a1fc,7.2
4383db05ef7373aab79c41b19afb5d5f,6.85
659a3ba19899a8893cd9339bd7d270bc,6.42
5060568797184ee1a6623bf0ef82bf56,7.2
c4bac1e6d2f491d49ba4760eaa8f69dd,6.85
494a56ea4c638d0fc41e233d940719dc,6.42
f699ad0799b15b35a1bb16e59759d2ba,7.2
e3d615eb5c8416b8107a4503eddb6e4a,6.85
9c8ea5d5fe2e1563972c5fa465167b6e,6.42
e010072015f5b2a824fb32ab01ccbc66,7.2
0bd60de64529e1851227bcf854181f7e,6.85
c755dec3af09aee8b4ccf3772f75054c,6.42
00da03ba938c7bb118ce0fc8caf201b7,6.85
2decf60f82e97246734426809ce0026b,7.2
ac2219a2831154c39be9e26c0dc4e092,6.85
6427b0a45dda42d230a2953b210e3933,6.42
bd7d53a189fdd652f9336807401935d7,6.85
5aed4372b0295f718afbdfa75e33090c,6.85
e8ecc9bdd9dd43076224cf31e1f24c52,7.2
b6546ee30cffe027360f49cd7751ea61,6.85
6b3b849d621221ea56bca5bd21d15433,6.42
db56bf0442f4bed0b05a01ad0b005aaf,7.2
69593845eb459ff8c833fe1a95dd27cb,6.85
1450760d69eead92da368e0f1efd62fd,6.42
69f60e9cc7f2590a12cdac5de0ebf885,7.2
ffc8c1ff7dd1895889d2b642bda7905d,6.85
af38fd28a99ed8fdc0896eeb049ca164,6.42
52c208329f0c716b46ed01af2ec6b1f0,6.85
86c8c408c50701c4b1ca0374d4d7de25,6.85
906fe5736a039e1dbd2e7c31351cb55a,6.85
447e19737ebd6c8d6cf94bc80348d932,6.87
265ce09a927eb3ed254d99161fbf3010,6.86
af9d0385d59ab27b47ed97fb4c589704,10.0
f225a2187769b7eb2f701f8bedb9148d,10.0
f03d06a133536fd473a1282b036dd354,6.96
e1eb9963fef40779ea84b4a336fd00a5,7.15
e35bcce7fff3782d70dfaf836d35618a,6.96
ab8caaff5b9379f92a038ca45f814430,6.43
eb22f280f5ea31ab244303714bf309f0,6.92
e2aa17bd4b5baa07dac82cd3526df86a,7.13
6a230d36847013fa855e2c7f6f8d78ad,6.92
152ee8f0308b7e06ecaa152bbc1a2901,6.46
75a18f9b4c2f958ad1655c3ac8548296,7.13
fc5a253b57699fe662f9865b3824cef8,6.92
c33eb3548b9caa4d8a558fbf893d63e4,6.46
576f99528f679b315473b7378ab1344c,6.92
8f74c28db5387b347695c79a178b1206,7.13
db17f3f4eb46fd0b1c1e5d593d97d12e,6.92
a85c1e9b6a0adb14d6ac9ec9bd6b23ab,6.46
7a579446f9809c454a5b328239801d7c,10.0
f994d4267d7c9ed742fce7a9cd939c2e,6.92
5be7691fa65bf91f3ba24c2d4a33258f,7.1
51bcde8b3838126337bead55786f7a77,6.95
f8eb328e18f9dc3fb4db495b4f0a9c7c,6.44
a192fb950bb9766ee3a5f497b8fc907f,7.1
cbf25104ad8d681aa9358fc5bd1fa934,6.95
404b08068d9cf96c2c95b7a432be56d0,6.44
ec839c0326b15d48ae20c582b12c46a4,7.1
34e9e8c1c722e7eca8e300e655c76aec,6.95
5740470005b74e63237059fdb1e821c4,6.44
7152870a5b4afc95248fa6f9e9beb7c0,7.1
3172999a82e3bae4c84044ba17a34f3f,6.95
857f54ca7afaf0f4ec713dccfb013596,6.44
529a55cd31e4d8ec6102354165694d1b,7.1
1fa64ffee2bc5eb0fd598aa2f74fea10,6.95
51c6925d48ed1e4fcd09783ebea5975d,6.44
9b72e8e72c57f2fbf7eba81a5aae3ff8,7.1
26b0c65afce8a7ed81076ebbf9b0ebf2,6.95
ffce1b384069c6818d02b6fd19c90898,6.44
a2658bb021c551629aa79c2ca4c47d90,7.1
a4a528c6baee54f7a710761df9d27833,6.95
03c6495ad49819c346c3ab21742993c6,6.44
ef1b033c9b9bbbd73f95268dfbd881eb,7.1
650b68b9442aed4e96596b164a3df70d,6.95
bfdb26784f0dc12f4239e618efd8330d,6.44
e918a81a252481c3b8ccf9b3710402e8,7.13
75dae319ab3b061050ddc40d621950ea,6.93
9b53e316ac4f3ccc1dead97c6787cc4a,9.0
a539a37bc2cbaf73d903090240934f5f,7.15
07fdc34b23915be726edc81eaca29220,6.91
f38eb66b2f7d68436d688731def2facb,9.0
224cebc10819ec36f647ec9e61851602,7.14
25674a366cbb7b500c655a0d9c952082,7.02
8d54ed84129f43c9d8c02c18fda021c8,6.55
9db9924823f9cd694ce146c81e271b29,7.15
9fdd8b21d8534415f0aaf6f24e2c5ce9,6.92
33359de1b5840ff9a13311d73d2e4e02,7.0
a0631754b3ee5d5e0810b248f5903dfc,7.1
6d2db1edc23073729f0b2484fd582929,9.0
fd6656a437536c3eaaaed1affb699c9d,6.47
ae8fbdc0e414657c3aa19eb9a57c1352,7.09
0e0537af259f2fd3b0154f4776276f78,6.91
dacf227125c7067a30267822710858c5,6.5
f7687da9c3554ff35c83d36f233332fb,7.0
