nr_crt,label,nr_clase,nr_errors,nr_inheritance,nr_virtual,nr_static,nr_global,nr_public,nr_private,nr_protected,nr_define,nr_template,nr_stl,nr_namespace,nr_enum,nr_struct,nr_cpp,nr_comments,nr_function,headers_size,sources_size,
47,student_40,25,1284,17,5,21,0,43,17,7,34,1,15,2,6,0,26,2,78,9326,25727,
48,student_23,22,3027,1,22,21,0,35,19,3,2,1,16,24,0,0,23,0,116,12800,55088,
49,student_66,5,528,2,0,6,0,6,2,0,2,1,7,3,0,0,6,0,13,1713,19413,
50,student_62,35,1867,0,71,12,0,64,6,15,5,0,59,0,5,0,30,128,89,28163,45756,
51,student_18,10,962,0,1,4,0,14,5,1,2,1,5,2,0,0,10,2,29,2443,19835,
52,student_30,7,598,2,0,2,0,8,4,0,2,1,9,5,0,0,7,2,27,3082,17915,
53,student_37,14,991,5,2,4,0,20,6,1,2,1,18,14,0,0,15,5,44,6830,27881,
54,student_41,19,541,0,8,18,0,33,4,4,3,1,15,2,0,0,20,2,49,6870,16812,
55,student_68,31,3723,0,23,26,0,50,3,3,14,2,9,4,1,0,30,21,94,11521,87461,
56,student_31,19,3070,0,19,52,0,30,10,7,2,1,20,2,0,0,20,0,136,8644,70579,
57,student_63,16,603,0,8,9,0,23,5,0,3,1,12,1,0,0,17,1,84,5990,13825,
58,student_51,15,1726,1,0,2,0,24,18,0,41,1,19,12,10,0,15,102,116,21200,37054,
59,student_57,21,2791,0,13,4,0,29,14,0,2,1,19,6,0,0,22,6,86,8233,72857,
60,student_11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
61,student_44,31,1381,2,10,9,0,51,6,3,18,2,24,5,3,0,31,12,116,12924,28545,
62,student_32,17,1489,0,18,23,0,24,8,2,5,1,21,16,0,0,18,2,84,6936,32048,
63,student_24,40,2358,0,86,31,0,84,9,11,2,8,23,2,0,0,41,2,197,19609,58012,
64,student_1,32,2067,21,29,18,0,55,16,10,25,1,7,9,0,0,30,8,268,24780,53608,
65,student_69,23,3256,0,11,9,0,37,1,4,11,1,18,2,0,0,23,13,108,9366,44196,
66,student_22,21,293,8,7,8,0,44,7,0,5,1,31,0,1,0,22,12,159,11928,5823,
67,17116809d7ef48d8bc9bce8d6ec916a7,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
68,d665e30485dc24c30e8fa0553b6eab2a,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
69,a197b123db2a51082f7b59aba2a2f3ff,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
70,4826eef0698cddc1bd8bc60169e7db92,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
71,cb766683dc798f4cb52790cf6117403f,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
72,d66ee0a74eb226577c0b8eb9096051b6,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
73,04ff28d762b8653fad7f29fbcf45026a,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
74,5387efd7714a07c1e3e38c7ddcddde0f,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
75,5c1f9db84b3eb5da9132b47a00bf7aea,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
76,de17822e4f2ed31b1b81f7499b360137,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
77,d5a40a1fb0fee9ef09f96253c974d557,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
78,ebea805721b98eb6cbc7b8cf815df89f,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
79,96b3e231d4eedcb4a4dee7b620c7e433,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
80,6285f4f54e3ba2669d18e55a65f8b7a4,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
81,971423f2d60e72b7d2ee8969560759a4,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
82,9c2582feb304c6b98f6ccd8de95e9f57,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
83,1141335eeeb835f36cce1b084a659b16,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
84,7f1c14ec1b40f579f4e1d3103b0a6d8d,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
85,5c251b41c7600ff23c6803c1eab277e0,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
86,88d45be0d460b978d5009020af132a60,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
87,ce62fb5b4d9755c30874d704fa1b4e32,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
88,5ae718ddfaa1d5e4eb951eaced9817e2,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
89,bb9fa8b5e89cf4a5f0f2fe78ba1be997,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
90,be02007eebad342a09956740adb1cb89,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
91,26dd218772fa8199bff1887feece8cdd,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
92,1e22841fbb42dd80ce2e526bdc2dedcd,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
93,9ad38421cfe846fb345ca88ace1390f6,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
94,b3b5d7548a44087b464e35aef93449d3,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
95,1d08694640ae0acfc7612ca329436222,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
96,6407500be0a5830010d79d75e64f708d,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
97,d415191dfdd3302f3853f7741935e48e,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
98,7f2fbac95f116ff25054fc69ad52c889,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
99,c428fd65012f34fc1f9e0375931e0851,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
100,fdc2761c3850991b196e8dd55a694e34,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
101,4c7eb61693e92b2fbd49883ff071375b,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
102,861b9e51f81c25a25b3ce7c5fd1acf83,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
103,3d1a2af8cf55bf5a52282a00604068d8,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
104,e1d2e88293d8de6186ff479b2f17c0dc,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
105,bc0641299d8cada3e34c4664171f85c0,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
106,daf92ec19a33e441ac02ea43dc21b170,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
107,53ae47262f1733250dfeda6b01a6c92f,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
108,a902388aff81c55691c2b8e1951d76de,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
109,ce7477b6520ba2d09848691ba83896cd,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
110,1533802943d8740ecda0d7f28fe63a11,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
111,1adf0ad38bdbb089b1dd99ac21f3ee3b,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
112,2b54d08694efa647306eceeb1cf4fc35,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
113,52855b918a25dee34949646ef5b8aea4,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
114,7c6b9391987ddf7e66c4234a0f98d52d,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
115,45817f746c022a54a2081ff115cff3a0,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
116,ecc4dc1082bef06c0dee6e1804852735,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
117,28f10a0bd3fb60701d7ac8871caa867f,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
118,5b4ff7794b2805e05a0b4513269bc165,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
119,a329ec7beef92be08830708c53797500,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
120,bc7b6b52dd82a1918a8e4eebc86d5f7b,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
121,5c47d89123372d37d986e9aa23e9ba98,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
122,4d23c8924caac96038df47b7c4fdcdf3,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
123,c8b30b486e3a1f5c87f435003736d856,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
124,b34b690ac041da1645f3ce5e5d0d8a64,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
125,723b815260879c8d632327101a4b0656,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
126,2f26680b099ea4861c6b687ee4224f5f,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
127,f0706737ced6ac57b92ad773f866e0a6,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
128,b6a3d35db774baea878a409720708232,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
129,fd40402d5ba219d7213577a7262eb415,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
130,80ec98a4c64c72c89236d525f7503851,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
131,fe5e5584563125a8988278d63ea362ab,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
132,e09d9e139656ab2b80e316f0871bbfe2,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
133,36e1f15e8f252f11838f37501b4c3abf,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
134,5c81b3d4323b2e708fcb40bd3e4d1542,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
135,09dc5c6f841d214e2d482c7e568c9f1d,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
136,6695f57b278f6498cdddebcb55c94f64,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
137,a76701a56fa666095c40da63372b2353,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
138,f72c5f1a152d16a62794b24126123420,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
139,381a2137c1d6d2ca2599bd7721682d6c,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
140,e33a6bbe2b48cc2ca296217aca1bbd06,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
141,4b3bdccfbb0bb2c92a9444e512351e90,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
142,2e29ab5c511f5d63782d9c3fed6081be,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
143,3cea269a85dd55c6d05a1a99b99f41c8,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
144,c9600d956fdc9e7d1244e56b528b65ae,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
145,7d8ea3907ac92ee553233b9131116b74,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
146,17e207e554a96dc0f4ca521d0fa59072,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
147,558d8cbc86395c7496afbf4dfd942bb1,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
148,fdfff9bf79952fa84454cae595afe196,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
149,273bcf0b3979483cf4eb582d4b261b9e,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
150,233cbdd65b7e8c8ec705f454742dc05a,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
151,9b589bada522fc0b60724d9b66e5b579,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
152,f18e60c12e62817d5dc9f5305bc8c485,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
153,33d466496385ab2fd76fffe6d4d2b7e8,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
154,2c5c8db018741965744fb3967f9353fa,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
155,1566641477da663986633f75732f5944,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
156,bed1cb4057b562fe586fe22f62be4335,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
157,4bc451f45d1ec4b0b9756304ff93694b,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
158,9370e4c63456e1ac492576cb82a8a1fc,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
159,4383db05ef7373aab79c41b19afb5d5f,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
160,659a3ba19899a8893cd9339bd7d270bc,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
161,5060568797184ee1a6623bf0ef82bf56,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
162,c4bac1e6d2f491d49ba4760eaa8f69dd,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
163,494a56ea4c638d0fc41e233d940719dc,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
164,f699ad0799b15b35a1bb16e59759d2ba,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
165,e3d615eb5c8416b8107a4503eddb6e4a,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
166,9c8ea5d5fe2e1563972c5fa465167b6e,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
167,e010072015f5b2a824fb32ab01ccbc66,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
168,0bd60de64529e1851227bcf854181f7e,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
169,c755dec3af09aee8b4ccf3772f75054c,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
170,00da03ba938c7bb118ce0fc8caf201b7,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
171,2decf60f82e97246734426809ce0026b,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
172,ac2219a2831154c39be9e26c0dc4e092,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
173,6427b0a45dda42d230a2953b210e3933,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
174,bd7d53a189fdd652f9336807401935d7,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
175,5aed4372b0295f718afbdfa75e33090c,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
176,e8ecc9bdd9dd43076224cf31e1f24c52,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
177,b6546ee30cffe027360f49cd7751ea61,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
178,6b3b849d621221ea56bca5bd21d15433,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
179,db56bf0442f4bed0b05a01ad0b005aaf,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
180,69593845eb459ff8c833fe1a95dd27cb,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
181,1450760d69eead92da368e0f1efd62fd,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
182,69f60e9cc7f2590a12cdac5de0ebf885,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
183,ffc8c1ff7dd1895889d2b642bda7905d,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
184,af38fd28a99ed8fdc0896eeb049ca164,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
185,52c208329f0c716b46ed01af2ec6b1f0,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
186,86c8c408c50701c4b1ca0374d4d7de25,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
187,906fe5736a039e1dbd2e7c31351cb55a,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
188,447e19737ebd6c8d6cf94bc80348d932,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
189,265ce09a927eb3ed254d99161fbf3010,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
190,af9d0385d59ab27b47ed97fb4c589704,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
191,f225a2187769b7eb2f701f8bedb9148d,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
192,f03d06a133536fd473a1282b036dd354,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
193,e1eb9963fef40779ea84b4a336fd00a5,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
194,e35bcce7fff3782d70dfaf836d35618a,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
195,ab8caaff5b9379f92a038ca45f814430,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
196,eb22f280f5ea31ab244303714bf309f0,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
197,e2aa17bd4b5baa07dac82cd3526df86a,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
198,6a230d36847013fa855e2c7f6f8d78ad,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
199,152ee8f0308b7e06ecaa152bbc1a2901,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
200,75a18f9b4c2f958ad1655c3ac8548296,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
201,fc5a253b57699fe662f9865b3824cef8,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
202,c33eb3548b9caa4d8a558fbf893d63e4,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
203,576f99528f679b315473b7378ab1344c,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
204,8f74c28db5387b347695c79a178b1206,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
205,db17f3f4eb46fd0b1c1e5d593d97d12e,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
206,a85c1e9b6a0adb14d6ac9ec9bd6b23ab,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
207,7a579446f9809c454a5b328239801d7c,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
208,f994d4267d7c9ed742fce7a9cd939c2e,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
209,5be7691fa65bf91f3ba24c2d4a33258f,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
210,51bcde8b3838126337bead55786f7a77,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
211,f8eb328e18f9dc3fb4db495b4f0a9c7c,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
212,a192fb950bb9766ee3a5f497b8fc907f,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
213,cbf25104ad8d681aa9358fc5bd1fa934,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
214,404b08068d9cf96c2c95b7a432be56d0,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
215,ec839c0326b15d48ae20c582b12c46a4,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
216,34e9e8c1c722e7eca8e300e655c76aec,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
217,5740470005b74e63237059fdb1e821c4,17,1232,0,29,22,0,24,15,0,3,1,10,4,0,0,17,1,125,6868,26471,
218,7152870a5b4afc95248fa6f9e9beb7c0,20,1113,13,69,33,0,42,4,10,4,2,26,12,2,0,20,97,180,27190,30788,
219,3172999a82e3bae4c84044ba17a34f3f,21,1165,0,6,25,0,27,14,1,8,1,41,13,0,0,20,0,71,8959,25536,
